actual_name,rename_values
Defense,Defense
Antimicrobial,Antimicrobial
Anti Gram(-),Anti Gram(-)
Anti Yeast,Antiyeast
Lipid Binding,Lipid Binding
Transport,Transport
Sexual,sexual/reproduction
Enzyme inhibitor,Enzyme inhibitor
Antihypertensive,Antihypertensive
Neuropeptide,Neuropeptide
Toxic,Toxic
Neuropeptide,Neuropeptide
Transcription factor,Transcription processes
Transcription factor,Transcription processes
Hormone,Hormone
Hormone,Hormone
Neuropeptide,Neuropeptide
Neuropeptide,Neuropeptide
Neuropeptide,Neuropeptide
Antibacterial/antibiotic,Antibacterial/antibiotic
Neuropeptide,Neuropeptide
Neuropeptide,Neuropeptide
Allergen,Allergen
Allergen,Allergen
Enzyme inhibitor,Enzyme inhibitor
Growth factor,Growth factor
Analgesic,Analgesic
Antiparasitic,Antiparasitic
Hormone,Hormone
Neurotoxin,Neurotoxin
Angiogenic,Angiogenic
Hormone,Hormone
Antimicrobial,Antimicrobial
Anorexic,Anorexic
Antiparasitic,Antiparasitic
Neuropeptide,Neuropeptide
Antibacterial/antibiotic,Antibacterial/antibiotic
Antibiofilm,Antibiofilm
Anti Diabetic,Diabetic
Antimicrobial,Antimicrobial
Antibacterial/antibiotic,Antibacterial/antibiotic
Antimicrobial,Antimicrobial
Allergen,Allergen
Therapeutic,Therapeutic
Anti-analgesic,Anti-analgesic
Atheroma related,Atheroma related
Anti-arthropod,Anti-arthropod
Chaperone,Chaperone
Anti Coagulant,Coagulation or anticoagulation
Inflamatory modulato,Inflammatory modulator
Anti Diabetic,Diabetic
Anti Gram(-),Anti Gram(-)
Anti Gram(+),Anti Gram(+)
Anti HIV,Anti HIV
Uricemic,Uricemic
Antiinflammatory,Inflammatory modulator
Neurological activity,Neurological activity
Eating behavior,Eating behavior
Coagulation or anticoagulation,Coagulation or anticoagulation
Anti-protist,Anti-protist
Allergen,Allergen
Therapeutic,Therapeutic
Anti Angiogenic,Angiogenic
Antibacterial/antibiotic,Antibacterial/antibiotic
Antibiofilm,Antibiofilm
Antibacterial/antibiotic,Antibacterial/antibiotic
Anticancer,Anticancer
Coagulation or anticoagulation,Coagulation or anticoagulation
Anti Diabetic,Diabetic
Diuresis,Diuresis
Antidote,Antidote
Biopesticide,Biopesticide
Antifreezing,Antifreezing
Antifungal,Antifungal
Anti Gram(-),Anti Gram(-)
Anti Gram(+),Anti Gram(+)
Anti HIV,Anti HIV
Anti Diabetic,Diabetic
Antihypertensive,Antihypertensive
Uricemic,Uricemic
Antiinflammatory,Inflammatory modulator
Insecticidal,Insecticidal
Anti Leishmania,Anti Leishmania
Antimalarial/antiplasmodial,Antimalarial/antiplasmodial
Antimicrobial,Antimicrobial
Antimicrobial,Antimicrobial
Antinociceptive,Antinociceptive
Anticancer,Anticancer
Antioxidant,Antioxidant
Antiparasitic,Antiparasitic
Antimalarial/antiplasmodial,Antimalarial/antiplasmodial
ANTIPROLIFERATIVE,AntiProliferative
Antiprotozoal,Antiprotozoal
Other activitiy,Other activity
Coagulation or anticoagulation,Coagulation or anticoagulation
Antidote,Antidote
Antidote,Antidote
Antiparasitic,Antiparasitic
Antitumour,Antitumour
Antitumour,Antitumour
Antiviral,Antiviral
Anti Yeast,Antiyeast
Antitumour,Antitumour
Antiinflammatory,Inflammatory modulator
Anxiolytic,Anxiolytic
Homeostasis,Homeostasis
Antibacterial/antibiotic,Antibacterial/antibiotic
Apoptosis,Apoptosis
Toxins,Toxins
Anti Gram(-),Anti Gram(-)
Growth factor,Growth factor
ARTHROPOD,Arthropod
Antibacterial/antibiotic,Antibacterial/antibiotic
Inflamatory modulator,Inflammatory modulator
BACTERIA GROWTH STIMULATOR,Bacteria Growth stimulator
Behavior,Behavior
Neurotoxin,Neurotoxin
BILE ACID-BINDING,Bile acid-binding
Metal Binding,Metal Binding
Molecule Binding,Molecule Binding
Bioactive,Bioactive
Biosynthesis,Biosynthesis
Biosynthesis,Biosynthesis
Blood-brain barrier crossing,Blood-brain barrier crossing
Blood-brain barrier crossing,Blood-brain barrier crossing
Amphibian dfense,Amphibian defense
Antimicrobial,Antimicrobial
Toxins,Toxins
Vasodilator,Vasodilator
Neuropeptide,Neuropeptide
Hormone,Hormone
Ion Binding,Ion Binding
Regulatory,Regulatory
Regulatory,Regulatory
Hormone,Hormone
Other activitiy,Other activity
Other activitiy,Other activity
Anticancer,Anticancer
Anticancer,Anticancer
Cancer cell,Cancer cell
Cardiac,Cardiac
Eating behavior,Eating behavior
Antimicrobial,Antimicrobial
Antimicrobial,Antimicrobial
Toxins,Toxins
Immunomodulatory,Immunomodulatory
Antimicrobial,Antimicrobial
Cell aggregation,Cell aggregation
Cell aggregation,Cell aggregation
Cell proliferation,Cell proliferation
Cell proliferation,Cell proliferation
Cell-penetrating,Cell-penetrating
Transport,Transport
Cell-cell communication,Cell-cell communication
Cell-cell communication,Cell-cell communication
Cell proliferation,Cell proliferation
Cell-cell communication,Cell-cell communication
Cell-penetrating,Cell-penetrating
Antibacterial,Antibacterial/antibiotic
Neurological activity,Neurological activity
Signal transduction,Signal transduction
Channel modulator,Channel modulator
Channel modulator,Channel modulator
Chaperone,Chaperone
Enzymatic,Enzymatic
Chemotactic,Chemotactic
Chemotactic,Chemotactic
Chemotactic,Chemotactic
Chemotactic,Chemotactic
Homeostasis,Homeostasis
Chromatine assembly,Chromatine assembly
Chromatine assembly,Chromatine assembly
growth factor,Growth factor
antimicrobial,Antimicrobial
Coagulation or anticoagulation,Coagulation or anticoagulation
Coagulation or anticoagulation,Coagulation or anticoagulation
Eating behavior,Eating behavior
antimicrobial,Antimicrobial
Enzymatic,Enzymatic
quorum sensing,Quorum sensing
quorum sensing,Quorum sensing
Neurotoxin,Neurotoxin
Neurotoxin,Neurotoxin
Neurotoxic,Neurotoxic
Neurotoxin,Neurotoxin
hormone,Hormone
Chelator,Chelator
neuropeptide,Neuropeptide
hormone,Hormone
sell-penetrating,Cell-penetrating
antimicrobial,Antimicrobial
Antifreezing,Antifreezing
Enzymatic,Enzymatic
Other activitiy,Other activity
CYTOKINE,Cytokine activity
GROWTH FACTOR,Growth factor
Cytolytic,Cytolytic
cytoprotective,Cytoprotective
CYTOTOXIC,Toxic
CYTOTOXIC,Toxic
CYTOTOXIC,Toxic
Defense,Defense
Defense,Defense
Defense,Defense
Defense,Defense
neurotoxin,Neurotoxin
antimicrobial,Antimicrobial
Regulatory,Regulatory
Regulatory,Regulatory
antifungal,Antifungal
Other activitiy,Other activity
Diuresis,Diuresis
Diuresis,Diuresis
Other activitiy,Other activity
DNA Binding,DNA Binding
DNA replication,DNA replication
DNA replication,DNA replication
DNA replication,DNA replication
Diabetic,Diabetic
antimicrobial,Antimicrobial
antifungal,Antifungal
Drug delivery vehicle,Drug delivery vehicle
Drug delivery vehicle,Drug delivery vehicle
Antimicrobial,Antimicrobial
hormone,Hormone
hormone,Hormone
hormone,Hormone
Toxin,Toxins
hormone,Hormone
Amphibian defense,Amphibian defense
Vasoconstrictor,Vasoconstrictor
enzymatic,Enzymatic
enzymatic,Enzymatic
enzymatic,Enzymatic
enzymatic,Enzymatic
enzymatic,Enzymatic
enzymatic,Enzymatic
enzymatic,Enzymatic
enzymatic,Enzymatic
enzymatic,Enzymatic
enzymatic,Enzymatic
enzymatic,Enzymatic
enzymatic,Enzymatic
enzymatic,Enzymatic
toxin,Toxins
Blood processes,Blood processes
hormone,Hormone
hormone,Hormone
cytokine,Cytokine activity
neuropeptide,Neuropeptide
Neuropeptide,Neuropeptide
Neuropeptide,Neuropeptide
Coagulation or anticoagulation,Coagulation or anticoagulation
Coagulation or anticoagulation,Coagulation or anticoagulation
Growth factor,Growth factor
Neuropeptide,Neuropeptide
Immunomodulatory,Immunomodulatory
Antibacterial,Antibacterial/antibiotic
Hormone,Hormone
Antifungal,Antifungal
Antifungal,Antifungal
Antifungal,Antifungal
Antifungal,Antifungal
Hormone,Hormone
Antifungal,Antifungal
Antimicrobial,Antimicrobial
Hormone,Hormone
cytokine,Cytokine activity
Gene expression and tranlation,Gene expression and tranlation
Gene expression and tranlation,Gene expression and tranlation
Gene expression and tranlation,Gene expression and tranlation
Gene expression and tranlation,Gene expression and tranlation
Gene expression and tranlation,Gene expression and tranlation
Gene expression and tranlation,Gene expression and tranlation
Gene expression and tranlation,Gene expression and tranlation
Gene expression and tranlation,Gene expression and tranlation
Other activitiy,Other activity
Antimicrobial,Antimicrobial
Hormone,Hormone
Hormone,Hormone
Regulatory,Regulatory
Anti Gram(-),Anti Gram(-)
hormone,Hormone
hormone,Hormone
hormone,Hormone
hormone,Hormone
Growth factor,Growth factor
hormone,Hormone
Anti Gram(-),Anti Gram(-)
Anti Gram(+),Anti Gram(+)
Anti Gram(-),Anti Gram(-)
Anti Gram(-),Anti Gram(-)
Anti Gram(-),Anti Gram(-)
Anti Gram(+),Anti Gram(+)
Anti Gram(+),Anti Gram(+)
toxin,Toxins
hemolytic,Hemolytic
Growth factor,Growth factor
Immunomodulatory,Immunomodulatory
Antibacterial,Antibacterial/antibiotic
Cytokine activity,Cytokine activity
Growth Factor,Growth factor
Hormone,Hormone
Antimicrobial,Antimicrobial
Growth Factor,Growth factor
Metal binding,Metal Binding
Antimicrobial,Antimicrobial
Anti Gram(-),Anti Gram(-)
Blood pressure,Blood Pressure
Blood processes,Blood processes
Hemolytic,Hemolytic
Hemolytic,Hemolytic
Blood processes,Blood processes
Blood processes,Blood processes
Blood processes,Blood processes
Growth Factor,Growth factor
Growth Factor,Growth factor
Regulatory,Regulatory
Regulatory,Regulatory
Antimicrobial,Antimicrobial
Antibacterial,Antibacterial/antibiotic
antifungal,Antifungal
Anti HIV,Anti HIV
Enzyme inhibitor,Enzyme inhibitor
Homeotasis,Homeostasis
Homeotasis,Homeostasis
Hormone,Hormone
Hormone,Hormone
Hormone,Hormone
Neurotoxin,Neurotoxin
Toxin,Toxins
Anuro defense,Anuro defense
Other activitiy,Other activity
Antibacterial/antibiotic,Antibacterial/antibiotic
Eating Behavior,Eating behavior
Eating Behavior,Eating behavior
Antimicrobial,Antimicrobial
Blood pressure,Blood Pressure
Blood pressure,Blood Pressure
Eating Behavior,Eating behavior
Toxin,Toxins
Toxin,Toxins
Immunological activity,Immunological activity
Immunological activity,Immunological activity
Immunological activity,Immunological activity
Immunological activity,Immunological activity
Immunological activity,Immunological activity
Immunological activity,Immunological activity
Immunomodulatory,Immunomodulatory
Immunological activity,Immunological activity
Immunomodulatory,Immunomodulatory
Immunomodulatory,Immunomodulatory
Immunological activity,Immunological activity
Immunological activity,Immunological activity
Immunological activity,Immunological activity
Other activitiy,Other activity
Antiinflammatory,Inflammatory modulator
Anti Angiogenic,Angiogenic
Insecticidal,Insecticidal
Insecticidal,Insecticidal
Insecticidal,Insecticidal
Insecticidal,Insecticidal
Insecticidal,Insecticidal
Insecticidal,Insecticidal
Hormone,Hormone
Hormone,Hormone
Protein binding,Protein binding
Inmunological activity,Immunological activity
Inmunological activity,Immunological activity
Inmunological activity,Immunological activity
Channel modulator,Channel modulator
Channel modulator,Channel modulator
Channel modulator,Channel modulator
Channel modulator,Channel modulator
Channel modulator,Channel modulator
Channel modulator,Channel modulator
Toxin,Toxins
Antimicrobial,Antimicrobial
Toxin,Toxins
Antimicrobial,Antimicrobial
Other activitiy,Other activity
Antimicrobial,Antimicrobial
Neurotoxin,Neurotoxin
Signal,Signal
Antibacterial,Antibacterial/antibiotic
Hormone,Hormone
Neuropeptide,Neuropeptide
Blood processes,Blood processes
Ligand binding,Ligand binding
Ligand binding,Ligand binding
Molecule binding,Molecule Binding
Neuropeptide,Neuropeptide
Eating Behavior,Eating behavior
Toxin,Toxins
Antimicrobial,Antimicrobial
Toxin,Toxins
Toxin,Toxins
Neuropeptide,Neuropeptide
Proteolytic,Proteolytic
Proteolytic,Proteolytic
Sexual regulation,Sexual/reproduction regulation
Mammallian cell,Mammallian cell
Mammallian cell,Mammallian cell
Mammallian cell,Mammallian cell
Mammallian cell,Mammallian cell
Cell degranulating,Cell degranulating
Toxin,Toxins
Cell degranulating,Cell degranulating
Cell degranulating,Cell degranulating
Cell degranulating,Cell degranulating
Antimicrobial,Antimicrobial
Antifungal,Antifungal
Anti Gram(+),Anti Gram(+)
Toxin,Toxins
Hemolytic,Hemolytic
antimicrobial,Antimicrobial
Membrane binding,Membrane Binding
Regulatory,Regulatory
Metal binding,Metal Binding
Anti Gram(-),Anti Gram(-)
Anticancer,Anticancer
Antibacterial,Antibacterial/antibiotic
Antifungal,Antifungal
MHC binding and non-binding,MHC binding and non-binding
Antimicrobial,Antimicrobial
Movement,Sensorial
Cell proliferation,Cell proliferation
Cell proliferation,Cell proliferation
None activity reported,None Activity reported
Mollicute,Mollicute
Molluscicidal,Molluscicidal
Antibacterial,Antibacterial/antibiotic
Neuropeptide,Neuropeptide
Toxin,Toxins
Muscle processes,Muscle processes
Neuropeptide,Neuropeptide
Toxic,Toxic
Toxin,Toxins
Antibacterial,Antibacterial/antibiotic
Antimicrobial,Antimicrobial
Neurological activity,Neurological activity
Natriuretic,Natriuretic
Nematocide,Nematocide
Nematode,Nematode
Nematode,Nematode
Nematode,Nematode
Neuropeptide,Neuropeptide
Neurological activity,Neurological activity
Neurological activity,Neurological activity
Neurological activity,Neurological activity
Neurological activity,Neurological activity
Neurological activity,Neurological activity
Neurological activity,Neurological activity
Neurological activity,Neurological activity
Neurological activity,Neurological activity
Neurological activity,Neurological activity
Neuropeptide,Neuropeptide
Neuropeptide,Neuropeptide
Neuropeptide,Neuropeptide
Neuropeptide,Neuropeptide
Neurological activity,Neurological activity
Neurological activity,Neurological activity
Neurological activity,Neurological activity
Neurological activity,Neurological activity
Neurological activity,Neurological activity
Neurological activity,Neurological activity
Neurological activity,Neurological activity
Inmunological activity,Immunological activity
Coagulation,Coagulation or anticoagulation
Toxin,Toxins
Toxin,Toxins
OPIOID,Opioid
neuropeptide,Neuropeptide
neuropeptide,Neuropeptide
Coagulation or anticoagulation,Coagulation or anticoagulation
Bone processes,Bone processes
Bone processes,Bone processes
Bone processes,Bone processes
Bone processes,Bone processes
Hormone,Hormone
sexual reproduction,sexual/reproduction
Antioxidant,Antioxidant
Toxin,Toxins
Hormone,Hormone
 sexual reproduction,sexual/reproduction
Enzyme inhibitor,Enzyme inhibitor
Hormone,Hormone
Antimicrobial,Antimicrobial
Toxin,Toxins
Paralytic,Paralytic
Antiparasitic,Antiparasitic
Antiparasitic,Antiparasitic
Antiparasitic,Antiparasitic
Hormone,Hormone
Anticancer,Anticancer
Other activitiy,Other activity
Other activitiy,Other activity
Other activitiy,Other activity
Antimicrobial,Antimicrobial
Protein modulator,Protein modulator
Protein modulator,Protein modulator
Propeptide,Propeptide
Antibacterial,Antibacterial/antibiotic
Hormone,Hormone
Neuropeptide,Neuropeptide
Inmunological activity,Immunological activity
Pheromone,Pheromone
Pheromone,Pheromone
Molecule binding,Molecule Binding
Plant processes,Plant processes
Plant processes,Plant processes
Plant processes,Plant processes
Antibacterial,Antibacterial/antibiotic
Antiprotozoos,Antiprotozoal
Plant processes,Plant processes
Hormone,Hormone
Allergen,Allergen
Blood processes,Blood processes
Blood processes,Blood processes
Growth Factor,Growth factor
Metal binding,Metal Binding
Antimicrobial,Antimicrobial
Diuresis,Diuresis
Toxin,Toxins
Toxin,Toxins
Antibacterial,Antibacterial/antibiotic
Antiinsecticide,Insecticidal
Antimicrobial,Antimicrobial
Antimicrobial,Antimicrobial
Toxin,Toxins
Toxin,Toxins
Protein modulator,Protein modulator
Precipitation processes,Precipitation processes
Neurological activity,Neurological activity
Other activitiy,Other activity
neuropeptide,Neuropeptide
Muscle processes,Muscle processes
Cell proliferation,Cell proliferation
Cell proliferation,Cell proliferation
Propeptide,Propeptide
Neurological activity,Neurological activity
protein modulator,Protein modulator
Protein modulator,Protein modulator
Protein modulator,Protein modulator
protein modulator,Protein modulator
Protein modulator,Protein modulator
protein modulator,Protein modulator
protein modulator,Protein modulator
Antibacterial,Antibacterial/antibiotic
Protein binding,Protein binding
protein modulator,Protein modulator
protein modulator,Protein modulator
protein modulator,Protein modulator
protein modulator,Protein modulator
Proteolytic,Proteolytic
Proteolytic,Proteolytic
Hormone,Hormone
PROTISTA,Protista
Antimicrobial,Antimicrobial
Anti Gram(-),Anti Gram(-)
Anti Gram(+),Anti Gram(+)
Protein binding,Protein binding
growth factor,Growth factor
Neuropeptide,Neuropeptide
Antibacterial,Antibacterial/antibiotic
Quorum sensing,Quorum sensing
Other activity,Other activity
Plant processes,Plant processes
Plant processes,Plant processes
Receptor modulator,Receptor modulator
Receptor modulator,Receptor modulator
Receptor modulator,Receptor modulator
Receptor modulator,Receptor modulator
Receptor modulator,Receptor modulator
Receptor modulator,Receptor modulator
Other activity,Other activity
Other activity,Other activity
Hormone,Hormone
Gene expression and translation,Gene expression and translation
Gene expression and translation,Gene expression and translation
Anuro defense,Anuro defense
Taste & Saliva,Taste & Saliva
Taste & Saliva,Taste & Saliva
Taste & Saliva,Taste & Saliva
Taste & Saliva,Taste & Saliva
Taste & Saliva,Taste & Saliva
Anti Gram(-),Anti Gram(-)
Precipitation processes,Precipitation processes
Toxin,Toxins
Toxin,Toxins
Toxin,Toxins
Toxin,Toxins
Toxin,Toxins
Toxin,Toxins
Toxin,Toxins
Enzyme inhibitor,Enzyme inhibitor
Sexual regulation,Sexual/reproduction regulation
Enzyme inhibitor,Enzyme inhibitor
Sexual regulation,Sexual/reproduction regulation
Sexual regulation,Sexual/reproduction regulation
Neuropeptide,Neuropeptide
Signal,Signal
Signal,Signal
Signal,Signal
Precipitation processes,Precipitation processes
Other activity,Other activity
Behavior,Behavior
Blood processes,Blood processes
Inmunological activity,Immunological activity
Muscle processes,Muscle processes
Toxin,Toxins
Toxin,Toxins
Sexual regulation,Sexual/reproduction regulation
Channel modulator,Channel modulator
Channel modulator,Channel modulator
Hormone,Hormone
Hormone,Hormone
Sexual/reproduction,sexual/reproduction
Sexual regulation,Sexual/reproduction regulation
Sexual regulation,Sexual/reproduction regulation
Sexual regulation,Sexual/reproduction regulation
Toxin,Toxins
Toxin,Toxins
Sporulation,Sporulation
Sporulation,Sporulation
Sporulation,Sporulation
Hormone,Hormone
Hormone,Hormone
Metal binding,Metal Binding
Biosynthesis,Biosynthesis
Growth Factor,Growth factor
Homeostasis,Homeostasis
Growth Factor,Growth factor
Biosynthesis,Biosynthesis
Antibacterial,Antibacterial/antibiotic
Taste & saliva,Taste & Saliva
Gene expression and translation,Gene expression and translation
Surface-immobilized,Surface-immobilized
Biosynthesis,Biosynthesis
Biosynthesis,Biosynthesis
Other activity,Other activity
Neurological activity,Neurological activity
Antibacterial,Antibacterial/antibiotic
Antimicrobial,Antimicrobial
Toxin,Toxins
Peptide Binding,Peptide Binding
Taste & Saliva,Taste & Saliva
antibacterial,Antibacterial/antibiotic
antifungal,Antifungal
Biosynthesis,Biosynthesis
Toxin,Toxins
Growth factor,Growth factor
Temperature,Temperature
Non activity reported,None Activity reported
Movement,Sensorial
Hormone,Hormone
Antimicrobial,Antimicrobial
Toxic,Toxic
Toxin,Toxins
Transcription processes,Transcription processes
Transcription processes,Transcription processes
Transcription processes,Transcription processes
Transit,Transit
Transit,Transit
Transit,Transit
Hormone binding,Hormone Binding
Eating behaviour,Eating behavior
Hormone,Hormone
Enzyme inhibitor,Enzyme inhibitor
Hormone,Hormone
Enzyme inhibitor,Enzyme inhibitor
Defense,Defense
Neuropeptide,Neuropeptide
Tumor-homing,Tumor-homing
Tumor-homing,Tumor-homing
Toxin,Toxins
Temperature,Temperature
Enzyme inhibitor,Enzyme inhibitor
Enzyme inhibitor,Enzyme inhibitor
Blood processes,Blood processes
sexual/reproduction,sexual/reproduction
sexual/reproduction,sexual/reproduction
sexual/reproduction,sexual/reproduction
sexual/reproduction,sexual/reproduction
Blood processes,Blood processes
Blood processes,Blood processes
None Activity reported,None Activity reported
None Activity reported,None Activity reported
Toxin,Toxins
Chemotactic,Chemotactic
Neurotoxin,Neurotoxin
Antiviral,Antiviral
Antiviral,Antiviral
Toxin,Toxins
Neuropeptide,Neuropeptide
Channel modulator,Channel modulator
Other activity,Other activity
Neuropeptide,Neuropeptide
Toxin,Toxins
Anti Yeast,Antiyeast
Metal binding,Metal Binding
